iter	Passed	Remaining
0	0	66
1	1	61
2	1	59
3	2	57
4	2	55
5	3	54
6	4	53
7	4	52
8	5	51
9	5	50
10	6	50
11	6	49
12	7	49
13	7	48
14	8	49
15	9	48
16	9	47
17	10	47
18	10	46
19	11	45
20	11	45
21	12	44
22	13	43
23	13	42
24	14	42
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	19	35
36	20	34
37	20	34
38	21	33
39	21	32
40	22	32
41	23	31
42	23	31
43	23	30
44	24	29
45	24	29
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	28	24
54	29	24
55	29	23
56	30	23
57	31	22
58	31	21
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	36	17
67	39	18
68	40	18
69	40	17
70	41	16
71	42	16
72	42	15
73	43	15
74	43	14
75	44	14
76	45	13
77	45	12
78	45	12
79	46	11
80	46	11
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	51	6
89	51	5
90	52	5
91	52	4
92	53	3
93	53	3
94	54	2
95	54	2
96	55	1
97	55	1
98	56	0
99	56	0
